Status,Purchase Process,Sales owner,Industry,Product,Value,Manager,Product category,Campaign Name,Discount
Lost,Individual,Alan Steiner,Medical/Nursing Services,Stand-up Desks,$4600,"Weiler, Anne",Furniture,Market Trends Newsletter,5.0%
Lost,Individual,Alan Steiner,Medical/Nursing Services,Stand-up Desks,$3600,"Weiler, Anne",Furniture,New Product Releases,5.0%
Lost,Individual,Alan Steiner,Medical/Nursing Services,Webcams,$1000,"Weiler, Anne",Electronics,,3.5%
Lost,Individual,Alan Steiner,,Design app,$19300,"Weiler, Anne",Software,,3.3%
Lost,Individual,Alan Steiner,,Desktops,$2500,"Weiler, Anne",Computers,,3.8%
Lost,Individual,Alan Steiner,,Desktops,$2600,"Weiler, Anne",Computers,Consumer Tradeshow,5.3%
Lost,Individual,Alan Steiner,,Ergonomic Seating,$2700,"Weiler, Anne",Furniture,,3.8%
Lost,Individual,Alan Steiner,,Laser Printers,$6500,"Weiler, Anne",Electronics,,2.3%
Lost,Individual,Alan Steiner,,Laser Printers,$1000,"Weiler, Anne",Electronics,Monthly Newsletter,2.8%
Lost,Individual,Alan Steiner,,Scanners,$2100,"Weiler, Anne",Electronics,,0.3%
Lost,Individual,Alan Steiner,Oil & Gas Production,Design app,$28300,"Weiler, Anne",Software,,3.3%
Lost,Individual,Alan Steiner,Oil & Gas Production,Desktops,$2000,"Weiler, Anne",Computers,Consumer Tradeshow,5.3%
Lost,Individual,Alan Steiner,Oil & Gas Production,Laser Printers,$1100,"Weiler, Anne",Electronics,,2.3%
Lost,Individual,Alan Steiner,Oil & Gas Production,Scanners,$4300,"Weiler, Anne",Electronics,,0.3%
Lost,Individual,Alan Steiner,Oil & Gas Production,Stand-up Desks,$4100,"Weiler, Anne",Furniture,,3.3%
Lost,Individual,Alan Steiner,Oil & Gas Production,Stand-up Desks,$4100,"Weiler, Anne",Furniture,New Product Releases,4.8%
Lost,Individual,Alan Steiner,Oilfield Services/Equipment,Design app,$10700,"Weiler, Anne",Software,,3.3%
Lost,Individual,Alan Steiner,Oilfield Services/Equipment,Design app,$3100,"Weiler, Anne",Software,Monthly Newsletter,3.8%
Lost,Individual,Alan Steiner,Oilfield Services/Equipment,Desktops,$1100,"Weiler, Anne",Computers,,3.8%
Lost,Individual,Alan Steiner,Oilfield Services/Equipment,Ergonomic Seating,$9400,"Weiler, Anne",Furniture,,3.8%
Lost,Individual,Alan Steiner,Oilfield Services/Equipment,Laser Printers,$5300,"Weiler, Anne",Electronics,,2.3%
Lost,Individual,Alan Steiner,Oilfield Services/Equipment,Scanners,$2200,"Weiler, Anne",Electronics,,0.3%
Lost,Individual,Alan Steiner,Oilfield Services/Equipment,Stand-up Desks,$9200,"Weiler, Anne",Furniture,,3.3%
Lost,Individual,Alan Steiner,Oilfield Services/Equipment,Stand-up Desks,$4600,"Weiler, Anne",Furniture,New Product Releases,4.8%
Lost,Individual,Alan Steiner,Ordnance And Accessories,Design app,$6100,"Weiler, Anne",Software,,3.5%
Lost,Individual,Alan Steiner,Ordnance And Accessories,Desktops,$1600,"Weiler, Anne",Computers,Twitter,4.5%
Lost,Individual,Alan Steiner,Ordnance And Accessories,Ergonomic Seating,$2200,"Weiler, Anne",Furniture,,4.0%
Lost,Individual,Alan Steiner,Ordnance And Accessories,Scanners,$2200,"Weiler, Anne",Electronics,,0.5%
Lost,Individual,Alan Steiner,Ordnance And Accessories,Stand-up Desks,$2300,"Weiler, Anne",Furniture,New Product Releases,5.0%
Lost,Individual,Alan Steiner,Packaged Foods,Design app,$3900,"Weiler, Anne",Software,,3.5%
Lost,Individual,Alan Steiner,Packaged Foods,Stand-up Desks,$3200,"Weiler, Anne",Furniture,,3.5%
Lost,Individual,Alan Steiner,Property-Casualty Insurers,Design app,$13000,"Weiler, Anne",Software,,3.5%
Lost,Individual,Alan Steiner,Property-Casualty Insurers,Ergonomic Seating,$4600,"Weiler, Anne",Furniture,New Product Releases,5.5%
Lost,Individual,Alan Steiner,Property-Casualty Insurers,Laser Printers,$1300,"Weiler, Anne",Electronics,,2.5%
