Product category,Product,Region,Industry,Sales owner,Territory,Sales Opportunity
Software,Design app,EMEA,Major Chemicals,Anne Weiler,United Arab Emirates,$20300
Furniture,Stand-up Desks,APAC,Investment Managers,Renee Lo,Thailand,$20100
Computers,Desktops,North America,Industrial Machinery/Components,Spencer Low,US-SOUTH,$20000
Furniture,Ergonomic Seating,North America,Automotive Aftermarket,Alicia Thomber,US-WEST,$20000
Software,Mobile app,North America,Oil & Gas Production,Molly Clark,US-SOUTH,$20000
Electronics,Laser Printers,North America,Business Services,Alicia Thomber,US-WEST,$19800
Furniture,Stand-up Desks,North America,Computer Manufacturing,Eric Gruber,US-MIDWEST,$19800
Software,Design app,North America,Investment Managers,Molly Clark,US-WEST,$19800
Software,Design app,North America,Major Chemicals,Spencer Low,US-SOUTH,$19800
Computers,All-in-One,APAC,Water Supply,Renee Lo,Australia,$19700
Furniture,Ergonomic Seating,EMEA,,Anne Weiler,Finland,$19700
Software,Design app,EMEA,Major Chemicals,Anne Weiler,Iceland,$19700
Software,Design app,North America,Medical/Dental Instruments,Eric Gruber,US-MIDWEST,$19700
Software,Mobile app,North America,Major Pharmaceuticals,Alicia Thomber,US-WEST,$19700
Electronics,Laser Printers,North America,Major Pharmaceuticals,Julian Isla,US-NORTHEAST,$19600
Furniture,Stand-up Desks,North America,Hospital/Nursing Management,David So,US-SOUTH,$19600
Software,Design app,EMEA,Hospital/Nursing Management,Anne Weiler,Germany,$19600
Software,Design app,LATAM,Oil/Gas Transmission,Sanjay Shah,Peru,$19600
Furniture,Stand-up Desks,LATAM,Major Pharmaceuticals,Greg Winston,Brazil,$19500
Furniture,Stand-up Desks,LATAM,Telecommunications Equipment,Greg Winston,Chile,$19400
Software,Design app,North America,Major Pharmaceuticals,Spencer Low,US-SOUTH,$19400
Computers,All-in-One,North America,Industrial Machinery/Components,Alan Steiner,Canada,$19300
Computers,All-in-One,North America,Specialty Foods,David So,US-SOUTH,$19300
Computers,Tablets,North America,Major Chemicals,David So,US-SOUTH,$19300
Furniture,Ergonomic Seating,APAC,Major Pharmaceuticals,Renee Lo,China,$19300
