Status,Purchase Process,Sales owner,Industry,Product,Value,Manager,Product category,Campaign Name,Discount
Lost,Individual,Sanjay Shah,Major Banks,Stand-up Desks,$6300,"Low, Spencer",Furniture,,3.2%
Lost,Individual,Sanjay Shah,Medical Specialities,All-in-One,$2500,"Low, Spencer",Computers,,1.1%
Lost,Individual,Sanjay Shah,Medical Specialities,Laser Printers,$1100,"Low, Spencer",Electronics,Monthly Newsletter,2.6%
Lost,Individual,Sanjay Shah,Medical Specialities,Mobile app,$2600,"Low, Spencer",Software,,1.1%
Lost,Individual,Sanjay Shah,Medical Specialities,Scanners,$2900,"Low, Spencer",Electronics,,0.1%
Lost,Individual,Sanjay Shah,Medical Specialities,Stand-up Desks,$2300,"Low, Spencer",Furniture,,3.1%
Lost,Individual,Sanjay Shah,,All-in-One,$7100,"Low, Spencer",Computers,,1.2%
Lost,Individual,Sanjay Shah,,Design app,$3600,"Low, Spencer",Software,,3.2%
Lost,Individual,Sanjay Shah,,Desktops,$2100,"Low, Spencer",Computers,,3.6%
Lost,Individual,Sanjay Shah,,Laser Printers,$2400,"Low, Spencer",Electronics,,2.2%
Lost,Individual,Sanjay Shah,,Laser Printers,$1100,"Low, Spencer",Electronics,Monthly Newsletter,2.6%
Lost,Individual,Sanjay Shah,,Mobile app,$11000,"Low, Spencer",Software,,1.2%
Lost,Individual,Sanjay Shah,,Webcams,$1800,"Low, Spencer",Electronics,,3.2%
Lost,Individual,Sanjay Shah,Oil & Gas Production,Mobile app,$2600,"Low, Spencer",Software,,1.1%
Lost,Individual,Sanjay Shah,Oil & Gas Production,Mobile app,$2400,"Low, Spencer",Software,Customer Care Campaign,3.6%
Lost,Individual,Sanjay Shah,Oil & Gas Production,Webcams,$100,"Low, Spencer",Electronics,,3.1%
Lost,Individual,Sanjay Shah,Oilfield Services/Equipment,All-in-One,$3100,"Low, Spencer",Computers,,1.1%
Lost,Individual,Sanjay Shah,Oilfield Services/Equipment,Design app,$11800,"Low, Spencer",Software,,3.1%
Lost,Individual,Sanjay Shah,Oilfield Services/Equipment,Desktops,$2300,"Low, Spencer",Computers,,3.6%
Lost,Individual,Sanjay Shah,Oilfield Services/Equipment,Ergonomic Seating,$3800,"Low, Spencer",Furniture,,3.6%
Lost,Individual,Sanjay Shah,Real Estate Investment Trusts,All-in-One,$3800,"Low, Spencer",Computers,,1.2%
Lost,Individual,Sanjay Shah,Real Estate Investment Trusts,Mobile app,$2600,"Low, Spencer",Software,,1.2%
Lost,Individual,Sanjay Shah,Telecommunications Equipment,Design app,$6800,"Low, Spencer",Software,,3.2%
Lost,Individual,Sanjay Shah,Telecommunications Equipment,Stand-up Desks,$10800,"Low, Spencer",Furniture,,3.2%
Lost,Individual,Sanjay Shah,Telecommunications Equipment,Webcams,$700,"Low, Spencer",Electronics,,3.2%
Lost,Individual,Sanjay Shah,Transportation Services,Design app,$3200,"Low, Spencer",Software,Monthly Newsletter,3.6%
Lost,Individual,Sanjay Shah,Transportation Services,Scanners,$2500,"Low, Spencer",Electronics,,0.1%
Lost,Individual,Sanjay Shah,Transportation Services,Scanners,$1300,"Low, Spencer",Electronics,Twitter,0.6%
Lost,Individual,Spencer Low,"Computer Software: Programming, Data Processing",All-in-One,$16600,"Low, Spencer",Computers,,1.3%
Lost,Individual,Spencer Low,"Computer Software: Programming, Data Processing",Mobile app,$7600,"Low, Spencer",Software,,1.3%
Lost,Individual,Spencer Low,Food Distributors,Mobile app,$5000,"Low, Spencer",Software,,1.3%
Lost,Individual,Spencer Low,Industrial Machinery/Components,All-in-One,$22900,"Low, Spencer",Computers,,1.3%
Lost,Individual,Spencer Low,Industrial Machinery/Components,Mobile app,$9300,"Low, Spencer",Software,,1.3%
Lost,Individual,Spencer Low,Integrated oil Companies,Mobile app,$2000,"Low, Spencer",Software,,1.3%
Lost,Individual,Spencer Low,Major Chemicals,All-in-One,$2500,"Low, Spencer",Computers,,1.3%
Lost,Individual,Spencer Low,Major Chemicals,Mobile app,$2000,"Low, Spencer",Software,,1.3%
Lost,Individual,Spencer Low,Major Chemicals,Scanners,$1800,"Low, Spencer",Electronics,,0.3%
Lost,Individual,Spencer Low,Major Pharmaceuticals,All-in-One,$9200,"Low, Spencer",Computers,,1.3%
Lost,Individual,Spencer Low,,All-in-One,$11600,"Low, Spencer",Computers,,1.3%
Lost,Individual,Spencer Low,,Mobile app,$10200,"Low, Spencer",Software,,1.3%
Lost,Individual,Spencer Low,,Scanners,$5200,"Low, Spencer",Electronics,,0.3%
Lost,Individual,Spencer Low,,Scanners,$2800,"Low, Spencer",Electronics,Twitter,0.8%
Lost,Individual,Spencer Low,Real Estate Investment Trusts,All-in-One,$3800,"Low, Spencer",Computers,,1.3%
Lost,Individual,Spencer Low,Savings Institutions,All-in-One,$2500,"Low, Spencer",Computers,,1.3%
Won,Individual,Alan Steiner,Air Freight/Delivery Services,All-in-One,$12300,"Weiler, Anne",Computers,,1.4%
Won,Individual,Alan Steiner,Air Freight/Delivery Services,All-in-One,$2600,"Weiler, Anne",Computers,Consumer Tradeshow,2.8%
Won,Individual,Alan Steiner,Air Freight/Delivery Services,Design app,$3500,"Weiler, Anne",Software,,3.3%
Won,Individual,Alan Steiner,Air Freight/Delivery Services,Design app,$5700,"Weiler, Anne",Software,Customer Care Campaign,6.0%
Won,Individual,Alan Steiner,Air Freight/Delivery Services,Design app,$3800,"Weiler, Anne",Software,Customer Follow-up,6.0%
Won,Individual,Alan Steiner,Air Freight/Delivery Services,Design app,$9000,"Weiler, Anne",Software,Monthly Newsletter,3.9%
Won,Individual,Alan Steiner,Air Freight/Delivery Services,Desktops,$3200,"Weiler, Anne",Computers,,3.9%
Won,Individual,Alan Steiner,Air Freight/Delivery Services,Mobile app,$6300,"Weiler, Anne",Software,,1.4%
